datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-01 15:41:00,Zehn Jahre Frauenquote - was hat sie gebracht?,inland,Führungspositionen,Vor zehn Jahren trat für die Wirtschaft das Gesetz für mehr Frauen in Führungspositionen in Kraft. Klar ist: Es hat gewirkt. Andere Länder liegen aber weiterhin vor Deutschland - auch ohne Quote.Von H.-J. Vieweger.mehr,Von H.-J. Vieweger.,https://www.tagesschau.de/inland/innenpolitik/frauenquote-wirtschaft-management-gesetz-bilanz-100.html
2025-05-01 15:41:00,"""Verstecken bringt nichts mehr""",inland,Angriffe auf CSDs,"Queeres Leben hat immer häufiger mit rechten Drohgebärden zu kämpfen. Vor allem in Ostdeutschland, wo die in Teilen gesichert rechtsextreme AfD vielerorts stärkste Kraft ist. Doch die Community hält zusammen.Von Nikta Vahid-Moghtada.mehr",Von Nikta Vahid-Moghtada.,https://www.tagesschau.de/inland/gesellschaft/csd-queer-bedrohung-100.html
2025-05-01 14:57:00,"Klingbeil will ""neue Gesichter"" in der Regierung",inland,SPD-Minister,"Wenige Tage nur hat SPD-Parteichef Klingbeil, um die Posten für seine Partei im Kabinett zu vergeben. Nun hat er angekündigt, Erfahrene und Jüngere zusammenbringen zu wollen. Über die Rolle von Co-Chefin Esken wird weiter gestritten.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/klingbeil-spd-regierungsbildung-100.html
2025-05-01 14:21:00,"Umkämpft, aber beliebt",inland,Zwei Jahre Deutschlandticket,"Vor zwei Jahren ging das neue bundesweit gültige Ticket für den Nahverkehr an den Start. Gegen viele Widerstände hat es sich bis heute gehalten. Viele Experten fordern, das Angebot weiterzuentwickeln.Von Jan Zimmermann.mehr",Von Jan Zimmermann.,https://www.tagesschau.de/inland/gesellschaft/deutschlandticket-nahverkehr-100.html
2025-05-01 14:19:00,"Scholz wünscht sich ""Respect"" zum Abschied",inland,Zapfenstreich für Bundeskanzler,Am kommenden Montag wird Bundeskanzler Scholz feierlich aus dem Amt entlassen. Für den traditionellen Großen Zapfenstreich hat er sich zwei Pop-Klassiker und einen Auszug aus einem Bach-Konzert gewünscht.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/scholz-zapfenstreich-musikauswahl-100.html
2025-05-01 13:46:00,"Kirche muss zugeben, wenn sie es ""verkackt"" hat",inland,Kritik an Umgang mit Missbrauchsopfern,"Auf dem Kirchentag geht es um Themen wie Frieden, Rechtsextremismus und Klimawandel. Viele Prominenten wie Altkanzlerin Merkel sind zu Gast. Aufhorchen lässt eine Kirchenvertreterin mit deutlicher Kritik am Umgang mit Missbrauchsopfern.mehr",Kein Autor,https://www.tagesschau.de/inland/gesellschaft/evangelischer-kirchentag-106.html
2025-05-01 12:50:00,Landwirte leiden unter höherem Mindestlohn,wirtschaft,Umstieg oder Aufgabe,Die Mindestlohndebatte beschäftigt auch die Landwirtschaft. Arbeitgeber warnen vor gravierenden Folgen für ihre Betriebe. Der DGB hingegen verteidigt eine etwaige Anhebung.Von Johannes Baumert.mehr,Von Johannes Baumert.,https://www.tagesschau.de/wirtschaft/unternehmen/landwirtschaft-mindestlohn-dgb-100.html
2025-05-01 11:49:00,Suche nachMusk-Nachfolger?Tesla dementiert,ausland,Kritik an Doppelrolle,Elon Musk ist Chef von Tesla und zugleich enger Berater von US-Präsident Trump. Das ist umstritten und schadet auch Tesla. Laut einem Medienbericht suchen Tesla-Spitzenmanager nach einem Nachfolger für Musk. Der Konzern dementiert.mehr,Kein Autor,https://www.tagesschau.de/ausland/amerika/usa-tesla-musk-100.html
2025-05-01 11:32:00,Schwere Waldbrände wüten bei Jerusalem,ausland,Israel,"In den Wäldern rund um Jerusalem kommt es immer wieder zu Bränden. Diesmal sind die Feuer so stark, dass mehrere Wohnorte geräumt werden mussten. Das Militär ist im Einsatz - und Hilfe aus dem Ausland soll auf dem Weg sein.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/israel-schwere-waldbraende-um-jerusalem-100.html
2025-05-01 10:54:00,"Hunderte Kundgebungen, Polizei vorbereitet",inland,Tag der Arbeit,Am Tag der Arbeit hat der Deutsche Gewerkschaftsbund zu einer Kundgebung nach Chemnitz eingeladen. Dort dürfte es friedlich bleiben. In Berlin und Hamburg bereitet sich die Polizei mit einem Großaufgebot auf mögliche Ausschreitungen vor.mehr,Kein Autor,https://www.tagesschau.de/inland/mai-kundgebungen-114.html
2025-05-01 10:19:00,Wie der eigene Name das Verhalten beeinflusst,wissen,Psychologie,"Von der Berufs- und Partnerwahl über die Vorliebe für Konsumartikel bis zu Karrierechancen - das alles kann durch Namen beeinflusst werden. Internationale Studien zeigen, wie weit das gehen kann.Von F. Wittig.mehr",Von F. Wittig.,https://www.tagesschau.de/wissen/forschung/psychologie-namen-100.html
2025-05-01 10:18:00,Was sich beim Namensrecht ändert,inland,Neue Regelung ab Mai,Bei der Wahl von Ehe- und Familiennamen gibt es ab sofort neue Freiheiten. Das betrifft zum Beispiel Doppelnamen. Mancherorts könnte das für Platzprobleme sorgen. Was ist jetzt erlaubt - und was nicht?mehr,Kein Autor,https://www.tagesschau.de/inland/gesellschaft/namensrecht-aenderungen-100.html
2025-05-01 10:12:00,"Harris kritisiert Trump für ""engstirnige Vision""",ausland,Ex-Präsidentschaftskandidatin,"Am 100. Tag von Trumps Amtszeit hat sich seine ehemalige Rivalin, die Demokratin Harris, zur Politik des US-Präsidenten geäußert. Sie kritisierte Trump scharf und rief Demokraten auf, nicht den Mut zu verlieren.mehr",Kein Autor,https://www.tagesschau.de/ausland/amerika/harris-kritik-trump-100.html
2025-05-01 08:34:00,Warum der Große Bär gerade besonders gut zu sehen ist,wissen,Sternbilder,"Das Sternbild Großer Wagen ist vielen bekannt. Doch es ist nur ein Teil des Großen Bären. Die Nächte im Frühjahr bieten ideale Bedingungen, um das Sternenbild zu sehen.Von H. Westram.mehr",Von H. Westram.,https://www.tagesschau.de/wissen/forschung/sternbilder-grosser-baer-100.html
2025-05-01 08:19:00,Hacker knacken Schutz derE-Patientenakte,inland,Kurz nach Einführung,"Gesundheitsminister Lauterbach hatte zur Einführung der elektronischen Patientenakte versichert, dass diese sicher sei. Nun ist es Hackern offenbar gelungen, auch die verbesserten Schutzvorkehrungen auszuhebeln.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/epa-patientenakte-hacking-100.html
2025-05-01 07:41:00,Werneke warnt vor Ende desAcht-Stunden-Tags,inland,Chef der Gewerkschaft ver.di,"Der Acht-Stunden-Arbeitstag gilt als Errungenschaft der Gewerkschaften - doch die wohl nächste Bundesregierung aus Union und SPD möchte ihn aufweichen. Werneke warnt vor ""massivem Druck"" auf Beschäftigte.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/werneke-acht-stunden-tag-100.html
2025-05-01 07:41:00,Bürgergeld - Hauptsache vermittelt?,inland,Pläne von Union und SPD,"Union und SPD wollen das Bürgergeld umbauen: Im Fokus soll die Vermittlung in Arbeit stehen, Sanktionen bei Pflichtverletzungen werden verschärft. Was sagen Betroffene und Experten dazu?Von Jan Koch.mehr",Von Jan Koch.,https://www.tagesschau.de/inland/innenpolitik/buergergeld-jobcenter-104.html
2025-05-01 07:18:00,Indien schließt Luftraum für pakistanische Flugzeuge,ausland,Nach Anschlag in Kaschmir,Die Lage zwischen Indien und Pakistan spitzt sich immer weiter zu. Indien schließt nun den Luftraum für pakistanische Flugzeuge. Pakistan rechnet mit einem indischen Angriff. Die USA mahnen zur Besonnenheit.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/indien-pakistan-konflikt-anschlag-angriff-102.html
2025-05-01 05:30:00,Was sich bei Passbildern ändert,inland,Ab heute digital,"Ab Mai sollen Passbilder digital und verschlüsselt übermittelt werden. Was genau ändert sich, was steckt hinter der neuen Regelung und wo kann man Fotos machen lassen? Ein Überblick.mehr",Kein Autor,https://www.tagesschau.de/inland/personalausweis-passbilder-aenderung-100.html
2025-05-01 05:16:00,USA und Ukraine schließenWirtschaftsabkommen,ausland,Nach wochenlangen Verhandlungen,Wochenlang haben die USA und die Ukraine um ein gemeinsames Wirtschaftsabkommen gerungen - nun gibt es eine Einigung. Das Abkommen sichert den USA Zugang zu ukrainischen Bodenschätzen. Die Ukraine behält jedoch die Kontrolle über die Ressourcen.mehr,Kein Autor,https://www.tagesschau.de/ausland/amerika/wiederaufbaufonds-ukraine-usa-100.html
2025-05-01 04:52:00,Ein kompliziertes Verhältnis,ausland,Trump und die Gewerkschaften,Der Tag der Arbeit ist auch ein Tag der Gewerkschaften. Doch die haben in den USA gerade einen schweren Stand. Dabei hatten sich einige von ihnen von der Trump-Regierung einen Aufschwung versprochen.Von Samuel Jackisch.mehr,Von Samuel Jackisch.,https://www.tagesschau.de/ausland/amerika/trump-gewerkschaften-100.html
2025-05-01 04:49:00,Wie Fans vor Abzocke geschützt werden sollen,kultur,Zweitmarkt für Konzertkarten,"Wiederverkaufsportale erwerben mittels Bots begehrte Veranstaltungstickets, um sie dann mit Aufschlägen anzubieten. Die künftige Bundesregierung will Fans vor dieser Abzocke schützen, stößt aber an Grenzen.Von Samira Straub.mehr",Von Samira Straub.,https://www.tagesschau.de/kultur/zweitmarkt-tickets-102.html
2025-05-01 02:53:00,Farage treibt Labour und Tories vor sich her,ausland,Kommunalwahlen in England,Bei den Kommunalwahlen in England drohen den Tories und Labour herbe Verluste. Die Rechtsaußen-Partei Reform UK aber steht in Umfragen glänzend da. Parteichef Farage gräbt den anderen Parteien Wähler ab.Von F. Hoppen.mehr,Von F. Hoppen.,https://www.tagesschau.de/ausland/europa/england-kommunalwahl-farage-100.html
2025-05-01 02:52:00,"""Christlicher Glaube ist politisch""",inland,Kirchentag 2025 in Hannover,"Mit Zehntausenden Besuchern hat in Hannover der evangelische Kirchentag begonnen. Bundespräsident Steinmeier würdigte den Kirchentag als einen Ort, an dem alles zur Sprache kommen könne.mehr",Kein Autor,https://www.tagesschau.de/inland/regional/niedersachsen/hannover-evangelischer-kirchentag-100.html
2025-05-02 23:53:00,Vollsperrung am Bahnknoten Köln,inland,Neues Stellwerk,Zwei Wochen lang ist der Bahnknoten zwischen Köln und Bonn voll gesperrt. In der Zeit sollen die Stellwerke modernisiert werden. Zahlreiche Regionalbahnen und Fernzüge fallen aus oder werden umgeleitet.mehr,Kein Autor,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/vollsperrung-bahn-koeln-bonn-100.html
2025-05-02 23:20:00,Mehrere Verletzte und eine Tote in Stuttgart,swraktuell,Mutmaßlicher Unfall,"In Stuttgart ist ein Mann mit einem Auto in eine Menschengruppe gefahren. Es gibt mehrere Schwerverletzte, eine Frau starb im Krankenhaus. Der Fahrer sei festgenommen worden, die Polizei geht inzwischen von einem Unfall aus.swr",Kein Autor,https://www.swr.de/swraktuell/baden-wuerttemberg/stuttgart/olgaeck-stuttgart-auto-personengruppe-100.html
