datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-02 11:28:00,"""DieBrandmauer-Debattewird neue Nahrung bekommen""",inland,ARD-Experte zur AfD-Einstufung,Der Verfassungsschutz begründet die Hochstufung der AfD lautARD-Sicherheitsexperte Michael Götschenbergmit dem Umgang der AfD mit Migranten und Geflüchteten. Die Entscheidung setze andere Parteien unter Zugzwang - insbesondere die Union.mehr,ARD-Sicherheitsexperte Michael Götschenberg,https://www.tagesschau.de/inland/innenpolitik/afd-einstufung-verfassungsschutz-104.html
2025-05-02 10:57:00,Deutschland beim Homeoffice EU-weit auf Platz zwei,wirtschaft,Arbeiten von zu Hause,Die Deutschen arbeiten überdurchschnittlich viele Tage von zu Hause aus. In der EU verbringen nur die Finnen noch etwas mehr Zeit im Homeoffice. Auch im weltweiten Vergleich ist der deutsche Wert hoch.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/arbeitsmarkt/deutsche-homeoffice-100.html
2025-05-02 10:38:00,Alle Wahlen von 1946 bis 2025,wahlarchiv,Wahlen in Deutschland,"Welche Partei feierte wann und wo Erfolge? Wo begann wessen Aufstieg oder Abstieg in der Wählergunst? Alle Landtags-, Bundestags- und Europawahlen in chronologischer Reihenfolge.mehr",Kein Autor,https://www.tagesschau.de/wahlarchiv/chronologie
2025-05-02 10:02:00,"AfD ""gesichertrechtsextremistisch""",inland,Verfassungsschutz,"Das Bundesamt für Verfassungsschutz hat eine Neubewertung der AfD auf Bundesebene vorgenommen. Demnach bestehen keine Zweifel mehr, dass die Partei insgesamt rechtsextremistisch ist.Von Michael Götschenberg und Holger Schmidt.mehr",Von Michael Götschenberg und Holger Schmidt.,https://www.tagesschau.de/inland/innenpolitik/verfassungsschutz-afd-102.html
2025-05-02 09:23:00,EU legt USA Zollangebot vor,wirtschaft,50 Milliarden für LNG und Co.,"Die EU bietet im Zollstreit an, künftig 50 Milliarden Euro mehr für amerikanische Produkte auszugeben. Damit wird das Handelsdefizit mit den USA laut EU-Kommission ausgeglichen.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/weltwirtschaft/eu-angebot-usa-zoelle-100.html
2025-05-02 09:13:00,"Teures Gas, leere Speicher",wirtschaft,Deutsche Energievorräte,"Die Gasspeicher sind so leer wie selten. Staatliche Auflagen schreiben vor, dass die Speicher im Sommer wieder befüllt werden. Doch ausgerechnet dann ist Erdgas inzwischen besonders teuer.Von Ingo Nathusius.mehr",Von Ingo Nathusius.,https://www.tagesschau.de/wirtschaft/verbraucher/gasspeicher-erdgas-energiebranche-100.html
2025-05-02 08:40:00,Apple mit Gewinn - und Sorgen,wirtschaft,US-Handelspolitik,Apple meldet fürs erste Quartal einen überraschend starken Gewinn. Doch die US-Zollpolitik belastet die Aussichten. Der Tech-Riese rechnet mit Milliarden-Zusatzkosten allein für die kommenden Monate.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/apple-iphone-hamsterkauefe-100.html
2025-05-02 08:07:00,Zweifel an Unions-Plänen zuGrenzkontrollen,inland,Migrationspolitik,"Die designierten Minister Dobrindt und Frei haben ihr Vorhaben bekräftigt, Grenzkontrollen zu verschärfen. In Polen hält man nichts von den Plänen, und die Polizeigewerkschaften halten sie für nicht umsetzbar.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/dobrindt-grenzkontrollen-100.html
2025-05-02 07:56:00,Wie sicher ist das deutsche Gold in New York?,wirtschaft,Reserven lagern teils im Ausland,Noch knapp die Hälfte der deutschen Goldreserven lagert in New York und London. Warum ist das so? Und warum holt die Bundesbank das Gold nicht nach Hause?Von Detlev Landmesser.mehr,Von Detlev Landmesser.,https://www.tagesschau.de/wirtschaft/weltwirtschaft/deutsche-goldreserven-new-york-100.html
2025-05-02 07:39:00,"Gewalt in der Erziehung, Rohstoffdeal, teure Tickets",multimedia,15 Minuten,Immer weniger Menschen finden Gewalt in der Erziehung okay. Die Ukraine und die USA haben sich auf ein Rohstoffabkommen geeinigt. Union und SPD wollen gegen überteuerte Event-Tickets vorgehen. Die Themen im Podcast15 Minuten.mehr,15 Minuten,https://www.tagesschau.de/multimedia/podcast/15-minuten/audio-gewalt-in-der-erziehung--rohstoffdeal-ukraine-100.html
2025-05-02 07:26:00,"""Berlin hatte eine besondere Bedeutung""",inland,Ende des NS-Regimes,"Der Untergang des ""Dritten Reichs"" wurde in Berlin besiegelt. In dem Haus, in dem die Kapitulation am 2. Mai 1945 unterschrieben wurde, wird die Erinnerung daran bis heute wachgehalten.Von Anke Hahn und Andrea Marshall.mehr",Von Anke Hahn und Andrea Marshall.,https://www.tagesschau.de/inland/gesellschaft/kapitulation-berlin-100.html
2025-05-02 07:21:00,Trump willRundfunksendernFinanzierung streichen,ausland,NPR und PBS,"Weil sie ""Propaganda"" verbreiten sollen und den Demokraten zu nahe stünden, will die US-Regierung den Sendeanstalten NPR und PBS die öffentlichen Gelder kürzen. Wie es für die Anstalten weitergeht, ist noch unklar.mehr",Kein Autor,https://www.tagesschau.de/ausland/amerika/trump-npr-pbs-100.html
2025-05-02 06:39:00,Istanbul - Nach dem Erdbeben ist vor dem Erdbeben,multimedia,11KM,"Warum lassen sich schwere Erdbeben, wie gerade in Istanbul, nicht ausreichend vorhersagen? 11KM erklärt, warum Istanbul mit weit stärkeren Beben rechnen muss und ob die Stadt dafür gewappnet oder längst verloren ist.mehr",Kein Autor,https://www.tagesschau.de/multimedia/podcast/11km/11km-feed-100.html
2025-05-02 06:30:00,Warum wurde Waltz entmachtet?,ausland,Nach Aus als Sicherheitsberater,"Mike Waltz räumt den Posten des US-Sicherheitsberaters und wird zum UN-Botschafter. Während Trumps Vize dies als Vertrauensbeweis darstellt, fragen sich Beobachter, ob mehr als nur ""Signalgate"" dahinter steckt.Von Ralf Borchard.mehr",Von Ralf Borchard.,https://www.tagesschau.de/ausland/amerika/waltz-posten-wechsel-100.html
2025-05-02 06:00:00,Pressefreiheit weltweit unter Druck,ausland,Rangliste von Reporter ohne Grenzen,"Die Freiheit der Presse ist weltweit unter Druck - die Organisation Reporter ohne Grenzen zeichnet ein düsteres Bild. Allein in einigen Staaten Europas ist die Lage noch gut, wobei Deutschland nicht mehr unter den Top 10 ist.mehr",Kein Autor,https://www.tagesschau.de/ausland/europa/pressefreiheit-international-100.html
2025-05-02 05:19:00,Banges Warten auf einen Flug in die Sicherheit,inland,Aufnahmeprogramm für Afghanen,"Deutschland hat sich verpflichtet, bestimmte gefährdete Afghanen aufzunehmen. Doch die neue Bundesregierung will die Aufnahmeflüge stoppen. Was bedeutet das für Betroffene?Von Gabor Halasz und Claudia Kornmeier.mehr",Von Gabor Halasz und Claudia Kornmeier.,https://www.tagesschau.de/inland/innenpolitik/aufnahmeprogramm-afghanistan-106.html
2025-05-02 05:13:00,Israel greift Ziele nahe Damaskus an,ausland,Mit Schutz der Drusen begründet,"Israel hatte die syrische Regierung zum Schutz der Drusen angemahnt - nun teilte die Armee mit, Ziele in der Nähe des Präsidentenpalastes angegriffen zu haben. Seit Tagen gibt es in Syrien Gefechte zwischen sunnitischen Milizen und Drusen.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/syrien-drusen-israel-100.html
2025-05-02 02:57:00,Schutzstatus für Venezolaner nun vor dem Supreme Court,ausland,US-Regierung,"Der Streit um von der US-Regierung angestrebte Abschiebung Hunderttausender Venezolaner geht in die nächste Runde: Nachdem ein Bundesrichter das Vorhaben im März gestoppt hatte, zog das Justizministerium nun vor das Oberste Gericht.mehr",Kein Autor,https://www.tagesschau.de/ausland/amerika/usa-venezolaner-supreme-court-100.html
2025-05-02 01:49:00,Mit Jimi Hendrix zum neuen Weltrekord,ausland,Kult-Veranstaltung in Breslau,"Wenn mehr als 8.000 Gitarristen gemeinsam Jimi Hendrix spielen, ist es musikalisch vielleicht kein Höhepunkt, aber ein neuer Weltrekord. Die Veranstaltung in Breslau fand zum 23. Mal statt und hat in Polen Kultstatus.Von S. Govedarica.mehr",Von S. Govedarica.,https://www.tagesschau.de/ausland/europa/weltrekord-breslau-gitarristen-100.html
2025-05-02 00:16:00,Am 1. Mai bleibt es weitgehend friedlich,inland,Linke Demonstrationen,Linke Demonstrationen haben in Berlin und Hamburg am Mai-Feiertag mehr als 25.000 Menschen mobilisiert. Anders als in Vorjahren blieb es weitgehend friedlich. In Berlin wurde ein Brief der inhaftierten Ex-RAF-Terroristin Klette verlesen.mehr,Kein Autor,https://www.tagesschau.de/inland/gesellschaft/1-mai-demos-100.html
2025-05-03 21:10:00,Klarer Sieg derRegierungsparteizeichnet sich ab,ausland,Wahl in Singapur,Prognosen sehen die Regierungspartei als klare Gewinnerin der Wahl in Singapur. Das war so erwartet worden. Und auch beim Ergebnis der Opposition scheint eine Überraschung wohl auszubleiben.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/wahl-singapur-100.html
2025-05-03 20:16:00,Warten auf denFranziskus-Moment,ausland,Papstwahl im Vatikan,"Mittwoch beginnt das Konklave. Schon im Vorfeld versuchen die Kardinäle, sich strategisch zu positionieren. Denn bei der Papstwahl geht es auch um eine Richtungsentscheidung für die katholische Kirche.VonTilmann Kleinjung.mehr",Von,https://www.tagesschau.de/ausland/europa/konklave-kardinaele-100.html
2025-05-03 17:13:00,SyriensStaatsfernsehenwill wieder senden,ausland,Pressefreiheit oder Propaganda?,"Am 5. Mai geht das syrische Staatsfernsehen wieder auf Sendung. Der neue Kanal will ""eine verlässliche Quelle"" sein. Doch Experten sehen die Pressefreiheit weiterhin gefährdet - vor allem für lokale Journalisten.Von Anna Osius.mehr",Von Anna Osius.,https://www.tagesschau.de/ausland/asien/pressefreiheit-syrien-100.html
2025-05-03 16:24:00,Konsequenzen für AfD-Mitglieder im Staatsdienst?,inland,Verfassungsschutz,"Hat die Einstufung der AfD als gesichert rechtsextremistisch Folgen für deren Mitglieder, die im öffentlichen Dienst tätig sind? Einige Länder wollen das prüfen. Auch die staatliche Finanzierung der AfD wird hinterfragt.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/afd-reaktionen-einstufung-verfassungsschutz-100.html
2025-05-03 15:56:00,Viel Potenzial und viele Hürden,wirtschaft,Gewerbefläche zu Wohnraum,Die Lage auf dem Wohnungsmarkt ist in vielen Städten angespannt. Gleichzeitig stehen viele Gewerbe- und Bürogebäude leer. Könnten Umwidmung und Umbau den Markt entlasten?Von Martin Rottach.mehr,Von Martin Rottach.,https://www.tagesschau.de/wirtschaft/verbraucher/wohnraum-102.html
2025-05-03 15:39:00,Mann fährt mit Auto in Menschengruppe,inland,Mehrere Verletzte in Stuttgart,In Stuttgart ist ein Mann mit einem Auto in eine Menschengruppe gefahren. Laut Polizei gibt es mehrere Schwerverletzte. Der Fahrer sei festgenommen worden. Die Polizei geht inzwischen von einem Unfall aus.mehr,Kein Autor,https://www.tagesschau.de/inland/regional/badenwuerttemberg/swr-auto-faehrt-in-stuttgart-in-menschengruppe-mehrere-verletzte-100.html
2025-05-03 15:33:00,Fast 200 Polizisten unterExtremismusverdacht,inland,Abfrage der Innenministerien,Sie äußern sich rechtsextrem oder hängen Verschwörungsideologien an: Fast 200 Polizeibeamte der Länder stehen offiziell unter Extremismusverdacht - und es könnten noch mehr sein.mehr,Kein Autor,https://www.tagesschau.de/inland/polizei-extremismusverdacht-102.html
2025-05-03 15:21:00,US-Regierung plant Stellenabbau bei Geheimdiensten,ausland,CIA und NSA,US-Präsident Trump setzt seine massiven Sparprogramme nun auch bei den Geheimdiensten fort. Allein beim Auslandsgeheimdienst CIA sollen mehr als 1.200 Stellen wegfallen. Auch der Nachrichtendienst NSA ist betroffen.mehr,Kein Autor,https://www.tagesschau.de/ausland/amerika/usa-stellenabbau-geheimdienste-100.html
2025-05-03 13:43:00,"""Nicht einmal eine Schale Reis für unsere Kinder""",ausland,Humanitäre Lage in Gaza,Nach zwei Monaten israelischer Blockade neigen sich die Essensvorräte im Gazastreifen dem Ende zu. Vor allem für Kinder ist die Lage dramatisch. Nun gibt es Spekulationen über eine mögliche Wiederaufnahme der Hilfen.Von C. Verenkotte.mehr,Von C. Verenkotte.,https://www.tagesschau.de/ausland/asien/gaza-hilfslieferungen-humanitaere-lage-100.html
2025-05-03 13:04:00,Indien stoppt Warenimporte aus Pakistan,ausland,Kaschmir-Konflikt,Nach dem Anschlag in Kaschmir ist das Verhältnis zweier Atommächten weiter angespannt. Indien untersagte nun den Import von Waren aus Pakistan. Das pakistanische Militär testete derweil eine ballistische Rakete.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/indien-pakistan-importstopp-100.html
2025-05-03 12:08:00,Der Schornstein ist schon mal montiert,ausland,Vorbereitungen auf Konklave,Die Vorbereitungen auf das Konklave ab Mittwoch laufen. Dafür wurde nun der für die Papst-Wahl wichtige Schornstein auf die Sixtinische Kapelle montiert. Und wie kommt jetzt der richtige Rauch aus dem Rohr?Lisa Weißerklärt es.mehr,Lisa Weiß,https://www.tagesschau.de/ausland/europa/konklave-schornstein-100.html
2025-05-03 11:33:00,Stimmungstest im Stadtstaat,ausland,Wahl in Singapur,"In Singapur ist die regierende PAP seit mehr als 60 Jahren an der Macht. Und obwohl die Zustimmung in der Bevölkerung bröckelt, hat es die Opposition schwer. Heute wird ein neues Parlament gewählt.Von Jennifer Johnston.mehr",Von Jennifer Johnston.,https://www.tagesschau.de/ausland/asien/singapur-wahl-100.html
2025-05-03 10:51:00,Neue deutsche Führungsrolle?,ausland,Europas Erwartungen an Merz,Was wird sich mit dem neuen deutschem Bundeskanzler in der EU ändern? Die europäischen Erwartungen an Friedrich Merz jedenfalls sind hoch. Und die Zeiten der Ankündigungen in wenigen Tagen vorbei. Von Christian Feld.mehr,. Von Christian Feld,https://www.tagesschau.de/ausland/europa/europa-merz-100.html
2025-05-03 10:50:00,Wie viel Übergangsgeld bekommen ehemalige Minister?,inland,Wechsel im Kabinett,Der Bund der Steuerzahler kritisiert das sogenannte Übergangsgeld für scheidende Minister. Wie hoch sind die Ansprüche und wie lange wird es gezahlt? Ein Überblick.Von Anna-Lou Beckmann.mehr,Von Anna-Lou Beckmann.,https://www.tagesschau.de/inland/innenpolitik/uebergangsgeld-faq-100.html
2025-05-03 10:06:00,Von 30 Grad geht's steil bergab,inland,DWD warnt vor Unwettergefahr,Erstmals in diesem Jahr ist in Deutschland die 30-Grad-Marke geknackt worden: gestern Abend in zwei Orten in Baden-Württemberg. Doch nun kommt ein Wetterumschwung - und der könnte Unwetter mit sich bringen.mehr,Kein Autor,https://www.tagesschau.de/inland/gesellschaft/wetter-30-grad-dwd-warnung-100.html
2025-05-03 09:21:00,Wie Trump Druck auf Anwälte ausübt,ausland,Einschüchterung als Kalkül,"US-Präsident Trump hat das Justizministerium angewiesen, Sanktionen gegen Anwälte und Kanzleien zu verhängen, die sich an ""unangemessenen"" Rechtsstreitigkeiten gegen die USA beteiligen. Was bedeutet das für Anwälte?Von Nina Barth.mehr",Von Nina Barth.,https://www.tagesschau.de/ausland/amerika/trumps-kampf-gegen-die-justiz-100.html
2025-05-03 08:50:00,Was bleibt von der Betriebsrente?,wirtschaft,Abgaben bei der Altersvorsorge,Für viele Arbeitnehmerinnen und Arbeitnehmer soll sie ein wichtiger Baustein der Altersvorsorge sein. Doch auch auf die Betriebsrente fallen Steuern und Sozialabgaben an. Allerdings gelten dafür Einschränkungen.Von Andreas Braun.mehr,Von Andreas Braun.,https://www.tagesschau.de/wirtschaft/verbraucher/betriebsrente-altersvorsorge-abgaben-100.html
2025-05-03 08:47:00,"Trump verspricht weiter ""größten Boom der Geschichte""",wirtschaft,Trotz Problemen der Wirtschaft,"In den USA sind weitere Zölle in Kraft getreten - die auf Autoteile. Obwohl gerade US-Firmen massiv unter der Zollpolitik leiden, wiederholte Präsident Trump seine Prophezeiung, dass den USA ein Wirtschaftsboom bevorstehe.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/us-zoelle-autoteile-100.html
2025-05-03 06:34:00,"Bundesregierungkontert Rubios ""Tyrannei""-Vorwurf",inland,US-Regierung und die AfD,"US-Außenminister Rubio hält die Einstufung der AfD als rechtsextremistisch für ""Tyrannei"". Vizepräsident Vance und Regierungsberater Musk schlagen in eine ähnliche Kerbe. Aber das Auswärtige Amt kontert: ""Das ist Demokratie"".mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/afd-verfassungsschutz-rubio-100.html
2025-05-03 05:33:00,Auf der Suche nach Noahs Arche,wissen,Archäologie,"Eine schiffsförmige Formation in der Osttürkei soll angeblich die Arche Noah sein. Obwohl Archäologen längst andere Fakten über den Arche-Noah-Mythos aufgedeckt haben, will ein US-Abenteurer dort bald mit Ausgrabungen beginnen.Von J. von Sperber.mehr",Von J. von Sperber.,https://www.tagesschau.de/wissen/forschung/arche-noah-100.html
2025-05-03 05:06:00,Was dieAfD-Hochstufungfür den Bundestag bedeutet,inland,Gesichert rechtsextremistisch,"Bei Wahlen und in den Umfragen ging es für die AfD zuletzt aufwärts. Nun hat der Verfassungsschutz die Partei als ""gesichert rechtsextremistisch"" eingestuft. Was macht das mit dem Bundestag und den Parteien? Ein Überblick.Von Dominic Hebestreit.mehr",Von Dominic Hebestreit.,https://www.tagesschau.de/inland/innenpolitik/afd-rechtsextremistisch-bundestag-100.html
2025-05-03 03:58:00,Zwischen China und den USA,ausland,Wahl in Australien,Australien wählt heute ein neues Parlament. Im Wahlkampf spielte auch das Verhältnis zu China und den USA eine zentrale Rolle. Gerade US-Präsident Trump könnte wahlentscheidend sein.Von Christiane Justus.mehr,Von Christiane Justus.,https://www.tagesschau.de/ausland/ozeanien/wahl-australien-110.html
2025-05-04 23:21:00,++ Waffenruhe laut Selenskyj jederzeit möglich ++,newsticker,Krieg gegen die Ukraine,Der ukrainische Präsident Selenskyj hält eine Waffenruhe mit Russland jederzeit für möglich. Bei einem russischen Drohnenangriff auf Kiew sind nach ukrainischen Angaben mehrere Menschen verletzt worden.mehr,Kein Autor,https://www.tagesschau.de/newsticker/liveblog-ukraine-sonntag-552.html
2025-05-04 23:20:00,++ Israels Armee bestätigtReservisten-Einberufung++,newsticker,Krieg in Nahost,Israels Armeechef Samir hat die Einberufung Zehntausender Reservisten bestätigt. Nach dem Raketeneinschlag nahe dem Flughafen Ben Gurion bei Tel Aviv haben mehrere internationale Airlines Flüge abgesagt.mehr,Kein Autor,https://www.tagesschau.de/newsticker/liveblog-nahost-sonntag-256.html
2025-05-04 21:45:00,Rechtspopulist Simion liegt in Rumänien vorn,ausland,Präsidentenwahl,Bei der neu angesetzten Präsidentenwahl in Rumänien liegt der rechtspopulistische Kandidat Simion klar vorn. Ihm folgen zwei proeuropäische Kandidaten. Die Entscheidung dürfte erst in einer Stichwahl fallen.mehr,Kein Autor,https://www.tagesschau.de/ausland/europa/rumaenien-praesidentschaftswahl-100.html
2025-05-04 21:17:00,Netanjahu droht auch dem Iran,ausland,Nach Huthi-Angriff,Für Israels Regierungschef ist klar: Hinter dem Huthi-Angriff auf den Flughafen von Tel Aviv steckt der Iran. Deswegen drohte Netanjahu der Huthi-Miliz und auch dem Teheraner Regime mit Vergeltung. Der Iran wiederum warnte.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/iran-israel-drohungen-102.html
2025-05-04 20:06:00,"""MehrGrenzkontrollenundZurückweisungen""",inland,Dobrindt zur Migration,"Die Bekämpfung der irregulären Migration ist erklärtes Ziel des künftigen Kanzlers Merz. Sein designierter Innenminister Dobrindt verspricht imBericht aus Berlin, verstärkte Grenzkontrollen und Zurückweisungen schon kommende Woche anzuordnen.mehr",Bericht aus Berlin,https://www.tagesschau.de/inland/bab-dobrindt-100.html
2025-05-04 19:45:00,Bayern München vorzeitig Deutscher Fußballmeister,eilmeldung,Fußball-Bundesliga,Der FC Bayern München ist zum 34. Mal deutscher Fußballmeister. Durch das 2:2 von Verfolger Bayer Leverkusen beim SC Freiburg kann der Rekordmeister zwei Bundesliga-Spieltage vor Saisonende nicht mehr vom ersten Platz verdrängt werden.mehr,Kein Autor,https://www.tagesschau.de/eilmeldung/fussball-bundesliga-deutscher-meister-100.html
2025-05-04 18:10:00,Kirchentag endet mitOpen-Air-Gottesdienst,inland,Hannover,Seit Mittwoch haben Zehntausende Gläubige in Hannover den Evangelischen Kirchentag gefeiert. Nun ging die Veranstaltung mit einem Open-Air-Gottesdienst zu Ende - mit Appellen an Toleranz und Zuversicht.mehr,Kein Autor,https://www.tagesschau.de/inland/regional/niedersachsen/kirchentag-open-air-gottesdienst-100.html
2025-05-04 17:53:00,"Lady Gaga tritt vor 2,1 Millionen Menschen auf",wirtschaft,Riesen-Konzert in Rio de Janeiro,Rio de Janeiro versucht den Tourismus in der Nebensaison anzukurbeln. Gestern fand daher ein Gratis-Konzert von Lady Gaga statt - und mehr als zwei Millionen Menschen kamen. Später meldete die Polizei: Man habe einen Anschlag verhindert.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/lady-gaga-rio-de-janeiro-100.html
2025-05-04 17:42:00,Heil tritt nicht fürSPD-Fraktionsvorsitzan,inland,Langjähriger Arbeitsminister,Hubertus Heil verzichtet auf das Amt des Vorsitzenden der SPD-Bundestagsfraktion - und deutet mangelnde Unterstützung der Parteispitze als Grund an. Damit tritt der langjährige Arbeitsminister in die zweite Reihe.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/heil-spd-fraktionsvorsitz-100.html
2025-05-04 16:30:00,Gedenken der Befreiten und der Befreier,inland,KZ-Gedenkstätte Dachau,"80 Jahre nach der Befreiung des KZ Dachau: Ein ehemaliger US-Soldat und ein Überlebender lachen gemeinsam, erinnern sich und mahnen: ""Die Menschen haben nicht wirklich aus der Geschichte gelernt"".mehr",Kein Autor,https://www.tagesschau.de/inland/regional/bayern/gedenken-dachau-100.html
2025-05-04 15:53:00,Von falschenKlimazertifikatenundPalmölschwindel,wirtschaft,Bioenergiebranche unter Druck,"Betrug mit China-Zertifikaten und Palmöl-Importen setzt die deutsche Bioenergiebranche unter Druck. Betreiber bangen um ihre Existenz, Experten fordern Aufklärung.Von Ekkehard Muntschick.mehr",Von Ekkehard Muntschick.,https://www.tagesschau.de/wirtschaft/bioenergie-klimaneutralitat-100.html
2025-05-04 14:28:00,Hohe Hürden für Asylverfahren in Drittstaaten,inland,Bericht des Innenministeriums,"Rechtlich und praktisch schwierig, dazu noch teuer: Asylverfahren in Länder außerhalb der EU zu verlagern, dürfte kaum helfen im Kampf gegen irreguläre Migration. Das geht aus einem Bericht des Innenministeriums hervor.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/asylpolitik-drittstaaten-migration-fluechtlinge-100.html
2025-05-04 13:37:00,Chats als Brutstätte desRechtsterrorismus,inland,Messengerdienst Telegram,"Telegram hat sich in den vergangenen Jahren zur zentralen Kommunikationsplattform für rechtsextreme Gruppen entwickelt. Experten konnten mehr als 650 Deutsche in den ""Terrorgram""-Gruppen finden.Von Cosima Gill.mehr",Von Cosima Gill.,https://www.tagesschau.de/inland/gesellschaft/telegram-rechtsterrorismus-100.html
2025-05-04 11:43:00,Festnahmen wegenTerrorverdachtsin England,ausland,Mehrere Iraner,"Bei zwei Anti-Terroreinsätzen haben Ermittler in England acht Männer festgenommen. Fast alle sind laut den Behörden iranische Staatsbürger. Was sie genau geplant haben sollen, lässt die Polizei bislang offen.mehr",Kein Autor,https://www.tagesschau.de/ausland/europa/terrorverdacht-london-festnahmen-100.html
2025-05-04 11:39:00,Xi reist nach Russland,ausland,Staatsbesuch,Zum russischen Gedenken an das Ende des Zweiten Weltkriegs in Europa reist der chinesische Staatschef Xi Jinping nach Moskau. Er soll auch der Militärparade beiwohnen. Zudem sollen mehrere Verträge unterzeichnet werden.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/xi-jinping-besucht-russland-100.html
2025-05-04 11:26:00,Lieber die Münze in der Hand?,wirtschaft,Diskussion über Bargeld,In vielen Ländern Europas rücken die Vorteile des Bargelds wieder ins öffentliche Bewusstsein. Trotz fortschreitender Digitalisierung - oder gerade deshalb?Von Matthias Toying.mehr,Von Matthias Toying.,https://www.tagesschau.de/wirtschaft/verbraucher/bargeld-digitale-waehrung-100.html
2025-05-04 11:22:00,Israel droht Huthi-Miliz mit Gegenschlag,ausland,Raketeneinschlag am Flughafen,Seit Beginn des Gaza-Krieges greifen die Huthi immer wieder Israel an. Nun schlug eine Rakete aus dem Jemen in der Nähe des Flughafens von Tel Aviv ein. Verteidigungsminister Katz kündigt eine heftige Reaktion an.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/israel-huthi-raketeneinschlag-flughafen-100.html
2025-05-04 10:17:00,"""Freundlichkeit ist keine Schwäche""",ausland,Australiens Premier Albanese,Die Labor Party von Premierminister Albanese hat die Wahl in Australien klar gewonnen. Der 62-Jährige tritt in der Öffentlichkeit freundlich und zugewandt auf - nach dem Wahlsieg servierte er Eis.Von Jennifer Johnston.mehr,Von Jennifer Johnston.,https://www.tagesschau.de/ausland/ozeanien/australien-wahl-sieger-albanese-100.html
2025-05-04 09:02:00,Warren Buffett zieht sich zurück - mit 94,wirtschaft,Investoren-Legende,Sein Gespür für gute Geschäfte machte Warren Buffett zur Investoren-Legende. Mit 94 Jahren leitet er den Rückzug von der Spitze seiner Holding ein. Die Ankündigung überraschte sogar seinen Nachfolger.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/unternehmen/warren-buffet-rueckzug-102.html
2025-05-04 08:24:00,Zehntausende Reservisten in Israel einberufen,ausland,Medienberichte,"Israel will Berichten zufolge Zehntausende Reservisten mobilisieren. Sie sollen etwa im Westjordanland reguläre Truppen ablösen, damit diese in den Gazastreifen geschickt werden können. Dort könnte eine Ausweitung der Offensive bevorstehen.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/israel-einberufung-reservisten-100.html
2025-05-04 08:01:00,Kriminelle aus China stecken hinter Betrugswelle,investigativ,Gefälschte DHL-Nachrichten,"""Das Paket kann nicht zugestellt werden"" - mit solchen Textnachrichten zocken Betrüger alleine in Deutschland Zehntausende Menschen ab. Recherchen desBRund internationaler Medien identifizieren Hintermänner und zeigen ein globales Betrugssystem.mehr",BR,https://www.tagesschau.de/investigativ/br-recherche/textnachrichten-betrug-phishing-100.html
2025-05-04 06:37:00,"Klingbeil will AfD politisch ""kleinkriegen""",inland,Nach Neueinstufung,"Die Einstufung der AfD als ""gesichert rechtsextremistisch"" hat die Debatte über ein Verbot neu entfacht. SPD-Chef Klingbeil appelliert aber, die Partei auch politisch ""kleinzukriegen"". Er sieht die künftige Regierung in der Verantwortung.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/klingbeil-afd-100.html
2025-05-04 05:45:00,Labor-Partei gewinnt Wahl in Australien,ausland,Sieg für Premier Albanese,Die sozialdemokratische Partei von Premier Albanese hat die Parlamentswahl in Australien klar gewonnen - und kann wohl mit absoluter Mehrheit weiterregieren. Dem Konservativen Dutton könnten lobende Worte über Trump geschadet haben.mehr,Kein Autor,https://www.tagesschau.de/ausland/ozeanien/wahl-australien-114.html
2025-05-04 05:25:00,Wie riskant ist Taiwans Atomausstieg?,ausland,Bedrohung durch China,In Taiwan geht das letzte Atomkraftwerk vom Netz. Die Regierung setzt damit ein Wahlversprechen um. Doch China droht mit einer Blockade. Kann sich Taiwan den Atomausstieg noch leisten?Von Ulrich Mendgen.mehr,Von Ulrich Mendgen.,https://www.tagesschau.de/ausland/asien/taiwan-atomausstieg-100.html
2025-05-04 04:31:00,Die stilleKlimaschutz-Mehrheit,wissen,Psychologie,"Menschen unterschätzen systematisch die Bereitschaft anderer, aktiv zum Klimaschutz beizutragen und das Thema ernst zu nehmen. Das zeigen aktuelle Studien. Wie kommt das?Von Judith Kösters.mehr",Von Judith Kösters.,https://www.tagesschau.de/wissen/klima/klima-psychologie-100.html
